lam,beta,w0,wa,EDE,fs8_0,nec_ok,ede_ok,w0_in_range,valid
0.3,0.05,-0.9929413398423722,-0.024143469635361074,0.0007613458329495997,0.2628690011167664,True,True,True,True
0.4,0.0,-0.9762952779300618,-0.033917169616679996,1.3310037186191718e-09,0.2615957081761664,True,True,True,True
0.4,0.01,-0.978173671923696,-0.03610841839339834,3.0528888204123745e-05,0.26157880084011764,True,True,True,True
0.4,0.02,-0.9799917143507042,-0.03799787391372969,0.00012207474642595065,0.2617933201614871,True,True,True,True
0.4,0.03,-0.9816964485316281,-0.03959365605068234,0.0002745281287094327,0.26174455174825656,True,True,True,True
0.4,0.04,-0.9833977759014931,-0.04086563004892319,0.00048770450619996225,0.26243018530945256,True,True,True,True
0.4,0.05,-0.9849848748363412,-0.04183814803339821,0.0007613457829573166,0.26285465941253944,True,True,True,True
0.5,0.0,-0.9629319592658961,-0.05246074651561115,1.3536061121567073e-09,0.2616981082783543,True,True,True,True
0.5,0.01,-0.965254396823126,-0.05524548883887633,3.052889615134562e-05,0.26145905626734334,True,True,True,True
0.5,0.02,-0.9675228339116669,-0.05773861431303145,0.00012207474127217817,0.2614493955907626,True,True,True,True
0.5,0.03,-0.9697409039293481,-0.05993638607810143,0.0002745281072283474,0.26167239728487884,True,True,True,True
0.5,0.04,-0.9719110522974835,-0.061832118135586346,0.00048770447496430654,0.26212872825199496,True,True,True,True
0.5,0.05,-0.9739472670001976,-0.06344346042475615,0.0007613457434281686,0.26232833792182825,True,True,True,True
0.6,0.0,-0.9464610964502009,-0.07460957268670529,1.3882313969554593e-09,0.2613228694701475,True,True,True,True
0.6,0.01,-0.9491942173147321,-0.07798957383171401,3.052891497817234e-05,0.2608676861456819,True,True,True,True
0.6,0.02,-0.9519934826476282,-0.08108018508344633,0.00012207474114776212,0.2611237688666016,True,True,True,True
0.6,0.03,-0.9546415174148865,-0.08389900613569701,0.00027452809540433516,0.26112452789414076,True,True,True,True
0.6,0.04,-0.9573704626762579,-0.08641172940026412,0.000487704448896187,0.2618386896167069,True,True,True,True
0.6,0.05,-0.9599470097734609,-0.08864416579982212,0.0007613457054662595,0.26230038158145846,True,True,True,True
0.7,0.0,-0.9267601804870366,-0.10004158206627478,1.4357801152365054e-09,0.2605234353519824,True,True,True,True
0.7,0.01,-0.9301531401080042,-0.10399855923304835,3.05289340837191e-05,0.2608125205519356,True,True,True,True
0.7,0.02,-0.9333753791388709,-0.10769797511153531,0.00012207474605102398,0.26084578418994564,True,True,True,True
0.7,0.03,-0.9365724684861684,-0.11112743637568764,0.0002745280837066018,0.2611040565304667,True,True,True,True
0.7,0.04,-0.9395906411962854,-0.11429711976776458,0.0004877044318309667,0.2611146339800978,True,True,True,True
0.7,0.05,-0.9427443619074047,-0.11716813698082011,0.0007613456765214142,0.2618257252132551,True,True,True,True
0.8,0.0,-0.9040475989793136,-0.12834922636905932,1.484957429436708e-09,0.2603009434224309,True,True,True,True
0.8,0.01,-0.9078528159568435,-0.13290035148892315,3.052896471889478e-05,0.2603673679852001,True,True,True,True
0.8,0.02,-0.9114564519858304,-0.13720819866164236,0.0001220747611344911,0.26018487783406724,True,True,True,True
0.8,0.03,-0.915240161621603,-0.14125916218700005,0.0002745280812650727,0.2606871208910392,True,True,True,True
0.8,0.04,-0.9188228718065803,-0.14505878606087177,0.0004877044150550523,0.26094676918131476,True,True,True,True
0.8,0.05,-0.9221961910001906,-0.1486110157113343,0.0007613456558253702,0.2609673255757074,True,True,True,True
0.9,0.0,-0.8779852798511343,-0.15908469875056708,1.5488044456419816e-09,0.25975376753561596,True,True,True,True
0.9,0.01,-0.8823867507460079,-0.16422760885980006,3.052900186190165e-05,0.2600590483638369,True,True,True,True
0.9,0.02,-0.8865635860289531,-0.16913979588239608,0.00012207477640788637,0.2601205831817221,True,True,True,True
0.9,0.03,-0.8905061962505553,-0.17381847682366733,0.00027452808801778334,0.25994565194816316,True,True,True,True
0.9,0.04,-0.894693534496503,-0.17826440868818605,0.00048770440669951954,0.26043870389437973,True,True,True,True
0.9,0.05,-0.898646996347238,-0.18246943141089147,0.0007613456356106506,0.2606988106222117,True,True,True,True
1.0,0.0,-0.8487123907465839,-0.19171167554493715,1.6222113061109958e-09,0.2594081960128313,True,True,True,True
1.0,0.01,-0.8534829641033994,-0.19744076595500895,3.052905201307765e-05,0.2594925410786509,True,True,True,True
