lam,beta,w0,wa,fs8_0,EDE,G_eff,fs8_ratio
0.6,0.175,-0.9858116335717252,-0.08994712617770578,0.274899599362612,0.00906397066110157,1.06125,1.049468287109937
0.6,0.2,-0.9895397125920721,-0.0835952426932481,0.2790768507952064,0.011725719410963812,1.08,1.0654155380915935
0.7,0.0,-0.9267601804870366,-0.10004158206627478,0.2605234353519824,1.4357801152365054e-09,1.0,0.9945852379733479
0.7,0.025,-0.9349957974907609,-0.10944544864524217,0.26100609014909876,0.00019069778021896136,1.00125,0.9964278412523978
0.7,0.05,-0.9427443619074047,-0.11716813698082011,0.2618257252132551,0.0007613456765214142,1.005,0.9995569145898265
0.7,0.075,-0.949998118828436,-0.12315390437477589,0.263008980924288,0.001707627976673448,1.01125,1.004074161421579
0.7,0.1,-0.9567549540691125,-0.12735411295808308,0.26457830571525165,0.0030223765150792295,1.02,1.0100652818310318
0.7,0.125,-0.9633609734636154,-0.12949013594322034,0.26749914172357564,0.004695613639180052,1.03125,1.0212159883787757
0.7,0.15,-0.9693059360893077,-0.12970693680509207,0.2703868287898285,0.0067146114363652604,1.045,1.032240144129299
0.7,0.175,-0.9749281561438331,-0.12760120925451243,0.27421718849652676,0.009063970618656051,1.06125,1.0468630866498556
0.7,0.2,-0.9800525322081493,-0.12313079668932815,0.27855723748362005,0.011725719382277134,1.08,1.0634318404313043
0.8,0.0,-0.9040475989793136,-0.12834922636905932,0.2603009434224309,1.484957429436708e-09,1.0,0.9937358434135025
0.8,0.025,-0.9133728385255893,-0.13926519685552483,0.2604665500350482,0.00019069778610779229,1.00125,0.994368070191863
0.8,0.05,-0.9221961910001906,-0.1486110157113343,0.2609673255757074,0.0007613456558253702,1.005,0.9962798519845637
0.8,0.075,-0.9307265973238,-0.1563058723558492,0.26229090447492687,0.0017076279385529825,1.01125,1.0013328025288328
0.8,0.1,-0.9389836242256043,-0.16222635228105906,0.26445819123270325,0.003022376467427691,1.02,1.0096067277241891
0.8,0.125,-0.9467604451723421,-0.16629699658995345,0.26703655866326775,0.004695613596954703,1.03125,1.0194500118074274
0.8,0.15,-0.9538414826987773,-0.16857085839853397,0.26959710509995805,0.0067146113936548575,1.045,1.029225261713973
0.8,0.175,-0.9608840639271492,-0.16847155488664886,0.2735540433027317,0.009063970583403708,1.06125,1.044331435631626
0.8,0.2,-0.9674518825235506,-0.16602317044066503,0.27803080268081387,0.011725719360248917,1.08,1.0614221007588676
0.9,0.0,-0.8779852798511343,-0.15908469875056708,0.25975376753561596,1.5488044456419816e-09,1.0,0.9916469217053046
0.9,0.025,-0.8885647716760541,-0.17150835809847648,0.26006237860817577,0.00019069779689728962,1.00125,0.992825088332151
0.9,0.05,-0.898646996347238,-0.18246943141089147,0.2606988106222117,0.0007613456356106506,1.005,0.9952547579903857
0.9,0.075,-0.9082298417717841,-0.19190831683786938,0.2616939290851087,0.0017076279051463537,1.01125,0.9990537641408109
0.9,0.1,-0.9178444144151467,-0.19967510555575227,0.263966642846815,0.003022376427811686,1.02,1.0077301719061162
0.9,0.125,-0.9267250897466822,-0.205759919997372,0.26620456693202743,0.004695613562120733,1.03125,1.0162737651373743
0.9,0.15,-0.9354085119202188,-0.2099221643702854,0.2693334397300621,0.0067146113568144535,1.045,1.0282186816943713
0.9,0.175,-0.943640724736739,-0.2120758966187532,0.2729444578790057,0.009063970554081627,1.06125,1.042004256647123
0.9,0.2,-0.9514337599284322,-0.21205135669512745,0.2770802558898224,0.011725719343529594,1.08,1.0577932533001129
1.0,0.0,-0.8487123907465839,-0.19171167554493715,0.2594081960128313,1.6222113061109958e-09,1.0,0.9903276533071997
1.0,0.025,-0.8602889472168028,-0.2056313972628419,0.2594003387970398,0.00019069781768093298,1.00125,0.9902976572693105
1.0,0.05,-0.8716422808910637,-0.21823146949124417,0.2601539556493517,0.0007613456229266032,1.005,0.9931746967010403
1.0,0.075,-0.8825019427827038,-0.2294236670649175,0.26126092295460596,0.001707627875946397,1.01125,0.9974007017022317
1.0,0.1,-0.8928739485153033,-0.23914307648324176,0.2627506508279458,0.0030223763967088097,1.02,1.0030879495669753
1.0,0.125,-0.9034088994718331,-0.24720833550040805,0.2655160677612846,0.00469561353220928,1.03125,1.013645321709041
1.0,0.15,-0.9135039267243755,-0.2534974946307679,0.2687278528263692,0.006714611326753435,1.045,1.0259067676283327
1.0,0.175,-0.9228537207215755,-0.2580185159065966,0.2719929777415932,0.009063970530203523,1.06125,1.0383718460057665
1.0,0.2,-0.9321192141324957,-0.26033725845660205,0.27622133305434277,0.011725719330520643,1.08,1.054514193312392
1.1,0.0,-0.815938054988905,-0.22560489724122604,0.2588896674541495,1.7134631668251245e-09,1.0,0.9883480968452799
1.1,0.025,-0.8284265344134221,-0.24098673217051084,0.2585742789070923,0.00019069784898839736,1.00125,0.9871440562463789
1.1,0.05,-0.8410598457083123,-0.25524552643485027,0.25942345044622867,0.0007613456174476238,1.005,0.9903858892745327
1.1,0.075,-0.8532056697972806,-0.26822957698339095,0.26062007535063153,0.0017076278529549434,1.01125,0.9949541749018983
1.1,0.1,-0.864872442118703,-0.2798647337534483,0.2621960765379178,0.003022376367767614,1.02,1.0009707834031092
1.1,0.125,-0.8764485281621341,-0.29005138963262106,0.2645997506402832,0.004695613507401664,1.03125,1.0101471508799218
1.1,0.15,-0.8875995860745663,-0.2986586872175422,0.2674502823387601,0.006714611302871361,1.045,1.0210294607337354
1.1,0.175,-0.898728457534709,-0.3054443449782933,0.27120502942143365,0.009063970510199927,1.06125,1.0353637413166135
1.1,0.2,-0.9094925972029081,-0.3102384212612585,0.2754962033790232,0.0117257193203579,1.08,1.0517459077272013
1.2,0.0,-0.7792117626722447,-0.2599858426417008,0.25789294616919406,1.83284986527725e-09,1.0,0.9845429716938664
1.2,0.025,-0.7932659495418133,-0.27689987258915805,0.2580959459471398,0.00019069788636341954,1.00125,0.985317952194887
1.2,0.05,-0.8068032578505411,-0.2927655767156523,0.2586092966763761,0.0007613456190352089,1.005,0.9872777415570666
1.2,0.075,-0.8198334372572934,-0.30751612810279816,0.2594695018324911,0.001707627837928078,1.01125,0.9905616969860461
1.2,0.1,-0.8332040501019407,-0.3211740811859099,0.26150672558014004,0.003022376343931183,1.02,0.9983390881567209
